,diff,Open,High,Low,Close,ma12,ma25,bb1_top,bb1_bottom,bb2_top,bb2_bottom,macd,signal,pDI,mDI,diffDI,dx,adx,separation,tenkan,kijun,senkou1,senkou2,chikou,pK,pD
2010-08-22,0.0,0.07,0.07,0.06,0.07,0.0691666666666667,0.06600000000000004,0.07100000000000005,0.06100000000000004,0.07600000000000005,0.056000000000000036,0.00027702499065164476,-0.0004828625543268273,0.15384615384615383,0.15384615384615394,-1.1102230246251565e-16,3.608224830031758e-16,0.23809523809523794,0.06060606060605999,0.07500000000000001,0.07500000000000001,,,0.06,0.0,0.0
2010-08-23,-0.010000000000000009,0.07,0.07,0.06,0.06,0.06833333333333336,0.06560000000000005,0.07066622805119027,0.06053377194880982,0.0757324561023805,0.055467543897619605,-0.0004489448095185561,-0.00033852222689612847,0.07692307692307687,0.15384615384615394,-0.07692307692307707,0.33333333333333387,0.19047619047619038,-0.08536585365853727,0.07500000000000001,0.07500000000000001,,,0.06,-1.0000000000000013,-0.3333333333333338
2010-08-24,0.0,0.06,0.07,0.06,0.06,0.06750000000000002,0.06560000000000005,0.07066622805119027,0.06053377194880982,0.0757324561023805,0.055467543897619605,-0.001012608387321215,-0.00031021291681089834,0.07142857142857137,0.14285714285714293,-0.07142857142857156,0.3333333333333339,0.1428571428571428,-0.08536585365853727,0.07500000000000001,0.07500000000000001,,,0.06,-1.0000000000000013,-0.6666666666666676
2010-08-25,0.0,0.06,0.07,0.06,0.06,0.06750000000000002,0.06520000000000004,0.07029901951359283,0.06010098048640725,0.0753980390271856,0.05500196097281447,-0.0014426854538353018,-0.00037313371216824646,0.07692307692307684,0.07692307692307696,-1.1102230246251565e-16,7.216449660063519e-16,0.11904761904761904,-0.0797546012269944,0.07500000000000001,0.07500000000000001,,,0.06,-1.0000000000000013,-1.0000000000000013
2010-08-26,0.0,0.06,0.07,0.06,0.06,0.0666666666666667,0.06520000000000004,0.07029901951359283,0.06010098048640725,0.0753980390271856,0.05500196097281447,-0.0017631995606046391,-0.0005068140397628602,0.07692307692307684,0.07692307692307696,-1.1102230246251565e-16,7.216449660063519e-16,0.11904761904761908,-0.0797546012269944,0.07,0.07500000000000001,,,0.06,-inf,-1.500000000000002
2010-08-27,0.0,0.06,0.06,0.06,0.06,0.06583333333333335,0.06520000000000004,0.07029901951359283,0.06010098048640725,0.0753980390271856,0.05500196097281447,-0.0019942211592346853,-0.0006944093247787525,0.08333333333333326,0.08333333333333337,-1.1102230246251565e-16,6.661338147750941e-16,0.11904761904761914,-0.0797546012269944,0.07,0.07500000000000001,,,0.06,-inf,-3.000000000000004
2010-08-28,0.0,0.06,0.06,0.06,0.06,0.06500000000000002,0.06520000000000004,0.07029901951359283,0.06010098048640725,0.0753980390271856,0.05500196097281447,-0.0021524948201643856,-0.0009221078352954678,0.09090909090909083,0.09090909090909095,-1.249000902703301e-16,6.869504964868158e-16,0.11904761904761918,-0.0797546012269944,0.065,0.07500000000000001,,,0.06,0.0,-2.0
2010-08-29,0.0,0.06,0.06,0.06,0.06,0.06416666666666669,0.06520000000000004,0.07029901951359283,0.06010098048640725,0.0753980390271856,0.05500196097281447,-0.0022519685451644067,-0.0011786313970106415,0.09999999999999992,0.10000000000000006,-1.3877787807814457e-16,6.938893903907229e-16,0.11904761904761922,-0.0797546012269944,0.065,0.07500000000000001,,,0.06,0.0,-0.5
2010-08-30,0.0,0.06,0.07,0.03,0.06,0.06333333333333335,0.06520000000000004,0.07029901951359283,0.06010098048640725,0.0753980390271856,0.05500196097281447,-0.0023042403405899026,-0.0014548153428646053,0.07692307692307687,0.30769230769230765,-0.23076923076923078,0.6000000000000002,0.16190476190476208,-0.0797546012269944,0.065,0.07500000000000001,,,0.06,0.0,0.0
2010-08-31,0.0,0.06,0.06,0.06,0.06,0.06250000000000001,0.06520000000000004,0.07029901951359283,0.06010098048640725,0.0753980390271856,0.05500196097281447,-0.0023189348772840734,-0.0017432553281907961,0.0,0.3636363636363636,-0.3636363636363636,1.0,0.20952380952380972,-0.0797546012269944,0.065,0.07500000000000001,,,0.06,0.0,0.0
2010-09-01,0.0,0.06,0.06,0.06,0.06,0.06166666666666668,0.06520000000000004,0.07029901951359283,0.06010098048640725,0.0753980390271856,0.05500196097281447,-0.0023040210826452134,-0.0019493749140937582,0.0,0.3636363636363636,-0.3636363636363636,1.0,0.2571428571428574,-0.0797546012269944,0.065,0.07500000000000001,,,0.06,0.0,0.0
